Barras, ymin (px), ymax (px), Contraste, xmin (px), xmax (px), N. Periodos, periodo (px),  ciclos/mm
A,65,88,0.15033,4,52,8,6,304.1666667
B,65,101,0.21687,7,73,9,7.33333,248.8636364
C,61,108,0.27811,11,111,11,9.09091,200.75
D,55,117,0.36047,4,142,12,11.5,158.6956522
E,58,139,0.41117,23,183,11,14.54545,125.46875
F,58,142,0.42,7,223,12,18,101.3888889
G,84,286,0.54595,19,200,10,18.1,100.8287293
H,65,177,0.46281,25,251,11,20.54545,88.82743363
I,62,191,0.50988,44,330,10,28.6,63.81118881
J,40,156,0.59184,15,381,10,36.6,49.86338798
K,35,191,0.69027,53,463,9,45.55556,40.06097561
L,23,156,0.74302,30,674,11,58.54545,31.17236025
M,25,191,0.76852,32,683,9,72.33333,25.23041475
N,12,182,0.87629,66,635,5,113.8,16.03690685
O,18,199,0.8341,44,596,6,92,19.83695652
P,12,198,0.88571,66,664,4,149.5,12.20735786
Q,11,188,0.88945,98,640,3,180.66667,10.10147601
