Barras, ymin (px), ymax (px), Contraste, xmin (px), xmax (px), N. Periodos, periodo (px),  ciclos/mm
A, 65, 88, 0.150, 4, 52, 8, 6.000, 304.167
B, 65, 101, 0.217, 7, 73, 9, 7.333, 248.864
C, 61, 108, 0.278, 11, 111, 11, 9.091, 200.750
D, 55, 117, 0.360, 4, 142, 12, 11.500, 158.696
E, 58, 139, 0.411, 23, 183, 11, 14.545, 125.469
F, 58, 142, 0.420, 7, 223, 12, 18.000, 101.389
G, 84, 286, 0.546, 19, 200, 10, 18.100, 100.829
H, 65, 177, 0.463, 25, 251, 11, 20.545, 88.827
I, 62, 191, 0.510, 44, 330, 10, 28.600, 63.811
J, 40, 156, 0.592, 15, 381, 10, 36.600, 49.863
K, 35, 191, 0.690, 53, 463, 9, 45.556, 40.061
L, 23, 156, 0.743, 30, 674, 11, 58.545, 31.172
M, 25, 191, 0.769, 32, 683, 9, 72.333, 25.230
N, 18, 199, 0.834, 44, 596, 6, 92.000, 19.837
O, 12, 182, 0.876, 66, 635, 5, 113.800, 16.037
P, 12, 198, 0.886, 66, 664, 4, 149.500, 12.207
Q, 11, 188, 0.889, 98, 640, 3, 180.667, 10.101
